Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,235902,11,263444,9.85,173614,11,193884,9.85,,,,
2003,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,107881,11,124915,9.50,69693,13,78783,11.50,,,,
2004,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,214821,11,253272,9.33,84413,11,99522,9.33,,,,
2004,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,111480,11,129082,9.50,74365,13,84065,11.50,,,,
2005,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,170432,11,189369,9.90,85639,11,95154,9.90,,,,
2005,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,125113,11,144868,9.50,86210,13,97455,11.50,,,,
2006,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,188517,11,197494,10.50,90105,11,94396,10.50,,,,
2006,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,135476,11,156867,9.50,95950,13,108465,11.50,,,,
2007,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,774037,11,851441,10.00,159006,11,174907,10.00,,,,
2007,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,400710,11,463980,9.50,99622,13,112616,11.50,,,,
2008,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,594093,11,653502,10.00,131165,11,144282,10.00,,,,
2008,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,359815,11,416628,9.50,109764,13,124081,11.50,,,,
2009,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,747581,11,822339,10.00,169284,11,186212,10.00,,,,
2009,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,392937,11,454980,9.50,115629,13,130711,11.50,,,,
2010,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,738645,11,812510,10.00,150971,11,166068,10.00,,,,
2010,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,387102,11,448223,9.50,113101,13,127853,11.50,,,,
2011,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,689236,11,758160,10.00,148202,11,163022,10.00,,,,
2011,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,430975,11,499024,9.50,117185,13,132470,11.50,,,,
2012,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,787523,11,911869,9.50,150446,11,174201,9.50,,,,
2012,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,418123,11,484142,9.50,119708,13,135322,11.50,,,,
2013,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,648308,11,679180,10.50,187249,11,205974,10.00,,,,
2013,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,421273,11,487790,9.50,127117,13,143697,11.50,,,,
2014,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,955804,11,1106720,9.50,183876,11,212909,9.50,,,,
2014,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,443284,11,513276,9.50,129506,13,146398,11.50,,,,
2015,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,824833,11,955070,10.00,192425,11,222808,10.00,,,,
2015,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,526601,11,609749,10.00,140683,13,159033,12.00,,,,
2016,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,856335,11,991546,9.50,221430,11,256393,9.50,,,,
2016,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,584832,11,677174,9.50,150026,13,169595,11.50,,,,
2017,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,888921,11,1029277,9.50,217429,12,248490,10.50,,,,
2017,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,592176,11,685677,9.50,183016,13,206888,11.50,,,,
2018,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,943372,11,1092325,9.50,228989,12,261702,10.50,,,,
2018,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,655776,11,759320,9.50,231311,13,261482,11.50,,,,
2019,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,981474,11,1136444,9.50,235456,12,269093,10.50,,,,
2019,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,610574,11,706980,9.50,187993,13,212514,11.50,,,,
2020,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,928915,11,1075586,9.50,179180,12,204777,10.50,,,,
2020,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,644894,11,746719,9.50,180496,13,204039,11.50,,,,
2021,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3283,3506,6789,1060139,11,1227529,9.50,212563,12,242929,10.50,,,,
2021,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-FBS,,1,NCAA,7452,11464,18916,668944,11,774567,9.50,229878,13,259862,11.50,,,,
